Gender,Early College HS?,HS Rank,GPA at Graduation,Credits Transferred,Cal 1 Final Grade (MATH 1411),Cal 2 Final Grade (MATH 1312),Statics Final Grade (MECH 1321),Chemistry Final Grade (CHEM 1305),degree_completion
1,0,85.0,0.0,53,0,0,0,0,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,183.0,3.41,0,3,0,4,2,1
1,0,11.0,3.79,78,0,0,0,0,1
1,0,85.0,0.0,13,0,0,0,-1,0
0,0,143.0,3.91,74,0,0,0,0,1
0,0,85.0,0.0,0,0,0,0,0,0
1,1,45.0,3.72,87,0,0,4,0,1
1,0,213.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,0,3,2,0,4,0
1,0,85.0,0.0,76,0,0,0,0,0
1,0,25.0,0.0,8,0,4,4,4,0
1,0,85.0,0.0,52,0,0,0,0,0
1,0,16.0,3.48,27,4,3,4,3,1
1,0,435.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,42,3,3,3,3,0
1,0,159.0,0.0,74,0,0,0,0,0
1,0,487.0,0.0,0,1,0,0,1,0
1,0,85.0,0.0,60,0,0,0,0,0
1,0,34.0,0.0,17,0,-1,2,2,0
1,0,298.0,2.83,0,3,0,4,0,1
1,0,17.0,0.0,58,0,4,3,3,0
1,0,576.0,0.0,0,4,0,0,0,0
1,0,47.0,0.0,23,0,4,4,4,0
1,0,199.0,3.21,67,0,0,0,0,1
1,0,13.0,0.0,42,4,4,-1,4,0
1,0,25.0,3.33,21,4,4,4,4,1
1,0,85.0,0.0,61,0,0,0,0,0
1,0,91.0,3.32,24,2,2,4,3,1
1,0,114.0,0.0,6,4,4,4,2,0
1,0,31.0,3.83,10,0,0,2,3,1
1,0,11.0,2.4,77,0,0,0,3,1
1,1,50.0,3.2,60,3,4,4,2,1
1,0,85.0,0.0,90,3,3,3,0,0
1,0,244.0,0.0,0,0,0,0,0,0
1,0,20.0,3.8,21,3,4,4,4,1
1,0,85.0,3.14,0,4,4,4,0,0
0,0,2.0,3.88,31,4,4,3,3,1
1,0,85.0,0.0,0,4,0,0,0,0
1,1,66.0,2.79,61,0,1,2,2,1
1,0,85.0,3.28,54,0,0,0,0,1
1,0,85.0,0.0,65,0,3,0,0,0
1,0,68.0,3.37,21,0,0,0,3,0
1,0,85.0,3.2,64,0,0,3,0,1
0,0,54.0,0.0,0,0,4,0,1,0
1,0,152.0,0.0,6,3,4,3,2,0
1,0,118.0,0.0,0,2,0,0,0,0
0,0,1.0,3.23,3,3,2,4,2,1
1,0,2.0,3.66,16,0,0,4,3,1
1,0,456.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,85,0,0,3,0,0
1,0,111.0,0.0,0,1,0,0,0,0
0,0,128.0,0.0,0,2,2,0,0,0
0,0,85.0,2.65,83,0,0,0,0,1
1,0,41.0,0.0,0,0,0,0,1,0
1,1,32.0,3.36,62,3,2,4,0,1
1,0,109.0,0.0,32,3,-1,4,2,0
1,0,401.0,0.0,0,3,-1,-1,1,0
1,0,100.0,0.0,47,0,3,0,0,0
0,0,213.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,25,2,4,3,-1,0
1,0,34.0,0.0,140,0,1,-1,2,0
1,0,64.0,0.0,0,0,0,0,-1,0
1,0,85.0,0.0,70,0,0,0,0,0
1,0,85.0,0.0,0,4,4,4,4,0
1,0,85.0,0.0,25,0,0,0,0,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,16.0,3.65,64,0,0,0,0,1
0,0,85.0,0.0,0,3,4,2,3,0
1,0,519.0,0.0,0,0,0,-1,-1,0
1,1,68.0,0.0,61,2,2,2,1,0
1,0,288.0,0.0,0,4,4,-1,2,0
1,0,19.0,0.0,8,0,4,3,1,0
1,0,85.0,0.0,64,0,2,2,2,0
1,0,85.0,2.61,46,4,3,2,2,1
1,0,36.0,0.0,0,2,2,1,-1,0
1,0,85.0,0.0,38,0,3,4,0,0
1,0,133.0,0.0,38,0,0,0,0,0
1,0,62.0,3.14,51,0,0,0,0,1
1,0,85.0,0.0,78,0,0,3,0,0
1,0,41.0,0.0,22,3,4,2,4,0
1,0,85.0,0.0,51,0,0,0,0,0
0,0,70.0,3.74,3,4,3,0,4,0
1,0,81.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,0,4,0,0,0,0
1,0,27.0,3.35,12,4,2,0,4,0
1,0,85.0,2.97,105,0,0,0,0,1
1,0,85.0,3.73,22,0,0,0,0,1
1,0,268.0,0.0,18,0,0,0,-1,0
0,0,5.0,3.9,78,0,0,0,0,1
1,0,41.0,2.85,33,0,2,2,0,1
1,0,85.0,3.24,73,0,0,0,0,1
0,0,159.0,0.0,27,0,0,0,0,0
1,0,74.0,0.0,64,0,0,0,0,0
0,0,105.0,0.0,0,0,0,0,0,0
1,0,85.0,0.0,65,0,0,0,0,0
1,0,85.0,3.04,37,0,0,4,0,1
1,0,442.0,0.0,0,4,0,0,-1,0
1,0,97.0,2.99,0,2,3,3,2,1
0,0,22.0,0.0,15,4,4,2,4,0
1,1,55.0,0.0,27,2,0,1,1,0
